日期,收盘,开盘,高,低,交易量,涨跌幅
6/11/2018,80.15,80.3,80.62,79.62,3.55K,0.34%
6/12/2018,80.53,80.5,80.65,80.08,2.43K,0.47%
6/13/2018,81,80.7,81.1,80.6,2.69K,0.58%
6/14/2018,81.17,81.15,81.25,81.1,1.43K,0.21%
6/15/2018,81.72,81.47,83,80.88,21.35K,0.68%
6/18/2018,83.72,82.05,83.83,81.95,16.64K,2.45%
6/19/2018,81.88,82.6,82.92,81.5,18.42K,-2.20%
6/20/2018,80.03,81.95,82.38,79.55,12.05K,-2.26%
6/21/2018,80.47,79.97,80.65,79.58,10.23K,0.55%
6/22/2018,79.83,80.25,80.35,79.15,7.21K,-0.80%
6/25/2018,78.08,79.2,79.3,77.97,7.13K,-2.19%
6/26/2018,79.12,78.42,80,78.4,9.21K,1.33%
6/27/2018,80.22,79.55,80.47,79.12,6.81K,1.39%
6/28/2018,81.12,80.4,81.28,80.05,6.72K,1.12%
6/29/2018,82.88,80.42,83.3,80.4,8.77K,2.17%
7/2/2018,83.2,83.08,83.42,81.85,8.06K,0.39%
7/3/2018,83.72,83.5,84.08,83.3,4.55K,0.63%
7/5/2018,83.3,83.9,83.92,83,3.63K,-0.50%
7/6/2018,81.38,82.75,82.85,81.25,5.75K,-2.30%
7/9/2018,80.22,81.88,81.88,80.1,4.19K,-1.43%
7/10/2018,79.5,80.72,80.72,79.45,4.21K,-0.90%
7/11/2018,79.78,79.8,79.95,79.35,3.45K,0.35%
7/12/2018,79.95,80.25,80.25,79.88,2.58K,0.21%
7/13/2018,79.95,79.92,80.03,79.85,1.66K,0.00%
7/16/2018,79.75,79.92,80.03,79.72,1.60K,-0.25%
7/17/2018,67.9,69.72,69.97,67.72,20.05K,-14.86%
7/18/2018,67.2,68.15,68.22,67.1,19.24K,-1.03%
7/19/2018,67.25,67.53,68.47,66.85,17.31K,0.07%
7/20/2018,66.45,66.6,67.05,65.65,12.04K,-1.19%
7/23/2018,66.42,66.5,67.12,66.33,11.37K,-0.05%
7/24/2018,65.55,66.53,66.83,65.3,12.18K,-1.31%
7/25/2018,66.4,66.1,66.75,65.58,5.72K,1.30%
7/26/2018,64.9,65.95,66.88,64.6,11.16K,-2.26%
7/27/2018,63.65,64.22,64.45,63.52,6.65K,-1.93%
7/30/2018,63.3,63.98,64.03,63.2,5.69K,-0.55%
7/31/2018,61.12,62.7,62.7,60.88,10.11K,-3.44%
8/1/2018,60.25,61,61,59.67,7.70K,-1.42%
8/2/2018,58.98,59.88,59.9,58.67,5.96K,-2.11%
8/3/2018,58.5,58.88,59.05,58.02,5.96K,-0.81%
8/6/2018,56.6,58.45,58.7,56.4,5.51K,-3.25%
8/7/2018,55.8,56.77,56.95,55.75,4.75K,-1.41%
8/8/2018,54.8,55.35,55.42,54.4,4.71K,-1.79%
8/9/2018,54.98,54.45,55.8,54.27,4.56K,0.33%
8/10/2018,54.8,55.15,55.62,54.7,1.95K,-0.33%
8/13/2018,55.52,55.12,55.85,55.12,2.85K,1.31%
8/14/2018,55,55.33,55.45,54.95,1.70K,-0.94%
8/15/2018,52.48,51.83,52.75,51.25,14.65K,-4.58%
8/16/2018,55.48,53.55,55.48,53.55,22.17K,5.72%
8/17/2018,58.6,56.38,58.85,55.7,35.00K,5.62%
8/20/2018,56.48,59.15,59.5,55.98,31.11K,-3.62%
8/21/2018,56.23,56.55,57.33,55.67,20.15K,-0.44%
8/22/2018,53.6,55.1,55.3,53.4,22.99K,-4.68%
8/23/2018,51.17,53.1,53.48,51,21.34K,-4.53%
8/24/2018,51.77,50.65,52.25,50.17,21.27K,1.17%
8/27/2018,54.77,51.77,54.77,51.67,24.17K,5.79%
8/28/2018,52,55.6,55.65,51.65,28.91K,-5.06%
8/29/2018,51.55,51.75,53.3,51.25,24.97K,-0.87%
8/30/2018,49.12,51.35,52.12,48.92,26.00K,-4.71%
8/31/2018,50.42,49.8,51.83,49.7,29.01K,2.65%
9/4/2018,51.08,51.65,51.95,50.15,33.02K,1.31%
9/5/2018,51.98,51.55,52.58,50.27,25.74K,1.76%
9/6/2018,54.98,53.27,54.98,52.83,25.01K,5.77%
9/7/2018,55.65,55.12,55.8,53.83,29.46K,1.22%
9/10/2018,55.95,56.4,57.25,55.85,36.85K,0.54%
9/11/2018,54.48,56.58,56.58,54.02,33.25K,-2.63%
9/12/2018,55.8,54.65,56.48,54.08,37.66K,2.42%
9/13/2018,55.67,55.85,56.48,54.08,31.39K,-0.23%
9/14/2018,56.23,56.33,56.88,55.48,28.56K,1.01%
9/17/2018,56.45,56.33,56.77,54.2,27.91K,0.39%
9/18/2018,59.17,57.4,59.45,57.4,18.51K,4.82%
9/19/2018,60,59.77,60.4,59.12,14.54K,1.40%
9/20/2018,61.25,60.7,61.62,60.6,13.50K,2.08%
9/21/2018,60.3,61.5,61.73,59.9,9.84K,-1.55%
9/24/2018,61,60.77,61.25,60,7.70K,1.16%
9/25/2018,62.42,61.65,62.73,61.4,10.93K,2.33%
9/26/2018,62.2,62.8,63.02,61.9,10.21K,-0.35%
9/27/2018,61.3,62.2,62.2,60.3,10.78K,-1.45%
9/28/2018,62.17,61.88,62.92,61.55,8.16K,1.42%
10/1/2018,64.75,62.8,64.85,62.8,7.13K,4.15%
10/2/2018,66.42,64.5,66.75,64.25,8.67K,2.58%
10/3/2018,67.47,67,67.55,65.72,9.30K,1.58%
10/4/2018,67.5,66.8,67.95,66.75,6.03K,0.04%
10/5/2018,68.2,67.8,68.83,67.7,5.76K,1.04%
10/8/2018,68.45,68.9,69.12,68.38,3.74K,0.37%
10/9/2018,68.75,68.4,69.03,68.2,2.61K,0.44%
10/10/2018,68.47,68.92,69.25,68.4,3.08K,-0.41%
10/11/2018,68.67,68.8,68.8,68.3,1.21K,0.29%
10/12/2018,68.75,68.7,68.9,68.5,1.34K,0.12%
10/15/2018,56.75,55.25,57.6,55.25,22.33K,-17.45%
10/16/2018,56.88,56.8,58.33,56.65,26.00K,0.23%
10/17/2018,54.7,56.15,56.75,54.55,26.09K,-3.83%
10/18/2018,52.3,54.38,54.38,52,25.76K,-4.39%
10/19/2018,51.6,52.9,53.95,51.5,22.94K,-1.34%
10/22/2018,53.17,52.2,53.92,51.27,20.48K,3.04%
10/23/2018,54.52,53.75,55.4,53.38,20.80K,2.54%
10/24/2018,57.52,55.1,57.52,55.1,22.60K,5.50%
10/25/2018,56.77,57.92,58.45,56.35,29.84K,-1.30%
10/26/2018,57.92,56.92,58.08,56.77,18.60K,2.03%
10/29/2018,58.85,58.5,59.45,58.2,24.46K,1.61%
10/30/2018,59,59.52,59.88,58.7,25.11K,0.25%
10/31/2018,58.45,59.7,60.2,58.2,25.70K,-0.93%
11/1/2018,58.2,57.83,59.08,56.75,25.97K,-0.43%
11/2/2018,58.12,57.77,58.6,57.25,19.16K,-0.14%
11/5/2018,57.1,57.95,59.12,56.7,22.75K,-1.75%
11/6/2018,54.1,56.52,56.83,54.1,27.67K,-5.25%
11/7/2018,55.52,54.4,55.75,54,36.72K,2.62%
11/8/2018,55.62,55.15,55.75,54.38,35.64K,0.18%
11/9/2018,55.8,54.8,56.1,54.23,36.56K,0.32%
11/12/2018,56.55,55.7,57.9,55.23,32.46K,1.34%
11/13/2018,57.3,56.35,57.4,55.6,26.81K,1.33%
11/14/2018,57,56.75,58.2,56.75,21.01K,-0.52%
11/15/2018,57.08,57.17,57.88,56.77,16.45K,0.14%
11/16/2018,60.08,57.48,60.08,57.42,24.32K,5.26%
11/19/2018,61.02,60.25,61.42,59.62,23.07K,1.56%
11/20/2018,58.98,60.83,61.02,58.8,18.35K,-3.34%
11/21/2018,58.27,58.52,58.9,58.1,8.32K,-1.20%
11/23/2018,59.08,58.8,59.75,58.4,5.77K,1.39%
11/26/2018,57.4,59.48,59.48,57.15,7.45K,-2.84%
11/27/2018,57.88,57.73,58.35,56.7,8.27K,0.84%
11/28/2018,57.95,57.8,58.4,57.3,6.02K,0.12%
11/29/2018,58.73,58.25,59.25,58.15,9.80K,1.35%
11/30/2018,57.88,58.7,58.8,57.77,9.65K,-1.45%
12/3/2018,58.02,58.65,58.88,57.12,7.13K,0.24%
12/4/2018,56.88,57.85,57.9,56.7,7.12K,-1.96%
12/5/2018,55.85,56.6,56.6,55.8,8.37K,-1.81%
12/6/2018,54.52,55.62,55.62,54.5,8.77K,-2.38%
12/7/2018,54.25,54.92,55.2,54.12,8.65K,-0.50%
12/10/2018,54.73,54.35,55.1,54.35,4.76K,0.88%
12/11/2018,54.45,55,55,54.27,3.28K,-0.51%
12/12/2018,54.73,54.7,54.8,54.38,2.02K,0.51%
12/13/2018,54.8,54.83,54.88,54.5,1.94K,0.13%
12/14/2018,54.95,54.95,55.02,54.88,1.26K,0.27%
12/17/2018,63.83,64.33,64.4,63.02,17.37K,16.16%
12/18/2018,62.65,63.65,63.7,62.12,18.19K,-1.85%
12/19/2018,62.7,62.73,63.52,62.2,12.80K,0.08%
12/20/2018,62.38,62.5,63.42,61.8,15.89K,-0.51%
12/21/2018,61.12,63.25,63.25,61.02,19.27K,-2.02%
12/24/2018,60.3,61.9,61.9,60.23,14.99K,-1.34%
12/26/2018,60.38,60.9,61.33,60.25,12.98K,0.13%
12/27/2018,60.58,61.17,61.2,60.2,14.74K,0.33%
12/28/2018,60.65,60.95,61.2,60.55,12.68K,0.12%
12/31/2018,60.98,60.85,61.48,60.8,15.86K,0.54%
